time,price
1683134400000,1861.51000000
1683134700000,1867.50000000
1683135000000,1869.66000000
1683135300000,1867.51000000
1683135600000,1875.09000000
1683135900000,1885.75000000
1683136200000,1879.04000000
1683136500000,1880.45000000
1683136800000,1875.11000000
1683137100000,1880.81000000
1683137400000,1880.41000000
1683137700000,1884.95000000
1683138000000,1886.47000000
1683138300000,1887.28000000
1683138600000,1881.61000000
1683138900000,1880.00000000
1683139200000,1880.28000000
1683139500000,1883.77000000
1683139800000,1881.61000000
1683140100000,1883.43000000
1683140400000,1885.10000000
1683140700000,1886.81000000
1683141000000,1882.59000000
1683141300000,1877.56000000
1683141600000,1882.20000000
1683141900000,1882.48000000
1683142200000,1878.76000000
1683142500000,1878.26000000
1683142800000,1872.57000000
1683143100000,1874.04000000
1683143400000,1870.82000000
1683143700000,1871.47000000
1683144000000,1868.02000000
1683144300000,1869.96000000
1683144600000,1874.52000000
1683144900000,1875.05000000
1683145200000,1876.80000000
1683145500000,1874.88000000
1683145800000,1872.64000000
1683146100000,1867.77000000
1683146400000,1861.76000000
1683146700000,1864.00000000
1683147000000,1865.58000000
1683147300000,1871.42000000
1683147600000,1873.47000000
1683147900000,1875.17000000
1683148200000,1875.17000000
1683148500000,1878.03000000
1683148800000,1883.12000000
1683149100000,1892.99000000
1683149400000,1887.45000000
1683149700000,1887.96000000
1683150000000,1889.79000000
1683150300000,1893.74000000
1683150600000,1891.90000000
1683150900000,1895.29000000
1683151200000,1889.67000000
1683151500000,1897.92000000
1683151800000,1900.60000000
1683152100000,1902.05000000
1683152400000,1907.99000000
1683152700000,1915.08000000
1683153000000,1908.87000000
1683153300000,1905.56000000
1683153600000,1906.28000000
1683153900000,1905.61000000
1683154200000,1905.42000000
1683154500000,1907.22000000
1683154800000,1906.85000000
1683155100000,1903.40000000
1683155400000,1904.57000000
1683155700000,1907.71000000
1683156000000,1906.12000000
1683156300000,1907.21000000
1683156600000,1904.11000000
1683156900000,1903.66000000
1683157200000,1900.97000000
1683157500000,1899.38000000
1683157800000,1902.25000000
1683158100000,1903.29000000
1683158400000,1905.12000000
1683158700000,1904.62000000
1683159000000,1902.29000000
1683159300000,1904.60000000
1683159600000,1904.01000000
1683159900000,1903.59000000
1683160200000,1902.15000000
1683160500000,1898.92000000
1683160800000,1896.25000000
1683161100000,1898.81000000
1683161400000,1902.77000000
1683161700000,1902.01000000
1683162000000,1901.98000000
1683162300000,1903.51000000
1683162600000,1902.62000000
1683162900000,1902.89000000
1683163200000,1901.50000000
1683163500000,1899.80000000
1683163800000,1897.53000000
1683164100000,1900.23000000
1683164400000,1901.21000000
1683164700000,1899.26000000
1683165000000,1900.84000000
1683165300000,1901.06000000
1683165600000,1902.14000000
1683165900000,1907.94000000
1683166200000,1903.81000000
1683166500000,1899.76000000
1683166800000,1901.75000000
1683167100000,1899.76000000
1683167400000,1900.55000000
1683167700000,1900.76000000
1683168000000,1899.00000000
1683168300000,1898.69000000
1683168600000,1899.43000000
1683168900000,1900.89000000
1683169200000,1902.42000000
1683169500000,1903.48000000
1683169800000,1903.00000000
1683170100000,1905.14000000
1683170400000,1901.91000000
1683170700000,1902.00000000
1683171000000,1902.28000000
1683171300000,1902.51000000
1683171600000,1899.80000000
1683171900000,1900.68000000
